samples,threshold,slice_count,flip_mean_macro,flip_mean_median_slice,flip_weighted_median_macro,dice_macro,erosion_pixels_total,addition_pixels_total,symmetric_difference_total,pherc1447_anti_blob_passed,pherc1447_foreground_ratio_vs_v15,pherc1447_reference_recall,locked_component_matches
1024,0.5,16,0.24055075,0.2097365,0.607766625,0.7396003765365766,4537,1075,5612,True,0.8158415171305192,0.8053987134465861,16
2048,0.25,16,0.217844,0.19084800000000002,0.5956656875,0.78902133212194,3257,1850,5107,,,,
2048,0.38,16,0.2266220625,0.19560450000000001,0.5994291875,0.7674869411336801,3923,1379,5302,False,1.2749575806112425,0.9898740813933725,16
2048,0.39,16,0.227608625,0.1957275,0.5999273125,0.7655265969915619,3973,1350,5323,False,1.2096742133327956,0.9859389448879236,16
2048,0.4,16,0.228388,0.197463,0.600441125,0.7637983547838133,4019,1325,5344,False,1.1518722146521898,0.9803207165059675,16
2048,0.41,16,0.2296219375,0.197897,0.60053525,0.7613918890753515,4078,1292,5370,False,1.1002537961391874,0.9720449746347899,16
2048,0.42,16,0.2301201875,0.198317,0.6007904375,0.7597498977280884,4119,1264,5383,True,1.053670249388556,0.9600177455643291,15
2048,0.43,16,0.2316825625,0.19855,0.601518,0.7569207227459975,4174,1248,5422,True,1.0114589965113834,0.9439113413169168,15
2048,0.44,16,0.233068375,0.199312,0.6013390625,0.7546684498193128,4227,1221,5448,True,0.9738310541614212,0.9250509176703762,15
2048,0.45,16,0.2344895,0.20257950000000002,0.6016429375,0.7519858655989493,4283,1201,5484,True,0.9396225898729291,0.9039240455277433,15
2048,0.46,16,0.2361901875,0.20401750000000002,0.602676875,0.7487460689200868,4342,1187,5529,True,0.9085916186777826,0.882085622347888,15
2048,0.47,16,0.2369120625,0.2050125,0.6036099375,0.7468842103756228,4384,1159,5543,True,0.8799776163904485,0.8599101486767168,15
2048,0.48,16,0.23821662500000002,0.20626,0.6034954375,0.7447460921747884,4430,1133,5563,True,0.8539721544440251,0.8386406782492963,15
2048,0.49,16,0.239546375,0.20775949999999999,0.60554925,0.7421446361220913,4484,1107,5591,True,0.8299349809436838,0.8180777175055959,15
2048,0.5,16,0.24076125,0.208351,0.6070752500000001,0.7396836470802864,4530,1089,5619,True,0.80818586174016,0.7989169732289725,15
3072,0.25,16,0.215844625,0.188369,0.59476325,0.7918845818442665,3195,1853,5048,,,,
3072,0.38,16,0.2250848125,0.1938185,0.59837425,0.7700862987589288,3875,1383,5258,False,1.3001290586496663,0.9901427135157247,16
3072,0.39,16,0.22586575,0.194472,0.5986553125,0.7681950655030396,3923,1358,5281,False,1.2354117633502242,0.9868010163368661,16
3072,0.4,16,0.227130125,0.1953865,0.599205375,0.7659085617747385,3985,1319,5304,False,1.1776364118238465,0.9821608105344123,16
3072,0.41,16,0.228005125,0.196231,0.5990106875,0.7643878084392007,4026,1292,5318,False,1.1255577897553934,0.9753088909310371,16
3072,0.42,16,0.22896350000000001,0.197498,0.6004053125,0.7619145488762387,4079,1273,5352,True,1.0786717617946067,0.9652542714668034,15
3072,0.43,16,0.2308341875,0.198702,0.600802875,0.7588658316054442,4137,1261,5398,True,1.0360946506918178,0.9515886025080014,15
3072,0.44,16,0.2317841875,0.197546,0.600890375,0.7572396364444176,4173,1244,5417,True,0.9979020767495658,0.9350075908379882,15
3072,0.45,16,0.2329696875,0.198679,0.601351625,0.7550155215933458,4220,1223,5443,True,0.963295345534369,0.916145006611375,15
3072,0.46,16,0.233843375,0.20107150000000001,0.6008610625,0.7531525872586498,4264,1195,5459,True,0.9316125993506736,0.8957909019413532,15
3072,0.47,16,0.2354670625,0.202413,0.6012099375,0.7501720048288248,4319,1180,5499,True,0.9026291378709356,0.8750968660065854,14
3072,0.48,16,0.2364331875,0.2027805,0.60266325,0.7476793395351136,4372,1150,5522,True,0.8757911324032276,0.8542868789412581,15
3072,0.49,16,0.2381320625,0.2057045,0.604354375,0.7439634507742949,4440,1131,5571,True,0.850796821930752,0.8340307205678581,15
3072,0.5,16,0.239421375,0.2082185,0.6046485625,0.741908738586275,4487,1106,5593,True,0.8283375920767208,0.8150795525582708,15
4096,0.25,16,0.2157354375,0.188149,0.5937888124999999,0.7920113357550054,3217,1808,5025,,,,
4096,0.38,16,0.22388825,0.1935965,0.5965835625,0.7718339845338726,3867,1338,5205,False,1.2782582267687228,0.9913857672507915,16
4096,0.39,16,0.224710625,0.194649,0.5972574375,0.7698022179300531,3918,1309,5227,False,1.217223280106243,0.9880671162593733,16
4096,0.4,16,0.2262325625,0.19600250000000002,0.5970630625,0.7669384911539728,3988,1274,5262,False,1.1627176064229725,0.982947261680816,16
4096,0.41,16,0.226895875,0.196846,0.5971219375,0.7656505998440908,4024,1250,5274,False,1.1134513394156063,0.9752944870638869,16
4096,0.42,16,0.2283595625,0.19756400000000002,0.5981821875,0.763076445225052,4081,1225,5306,True,1.0693531799417508,0.9645852118376742,15
4096,0.43,16,0.22948037500000001,0.198238,0.5991546249999999,0.7609356262517247,4131,1199,5330,True,1.0293327552581317,0.9504903076377946,15
